zone, weight, cell, WPSS, DistNW
1, 0.1, 1724, 0.676091326221784, 192.727313786815
10, 0.03333333333333333, 6385, 0.650619655701845, 115.3808056394
19, 0.1333333333333333, 10549, 0.653774584408899, 16.7499406840117
37, 0.1, 16927, 0.654700303218957, 35.9080059401235
38, 0.06666666666666667, 18162, 0.651000969621742, 31.2507094176947
41, 0.03333333333333333, 18787, 0.652837146291318, 46.4777391276305
51, 0.05, 26037, 0.700615595547937, 35.6240114311992
71, 0.08333333333333333, 35772, 0.69038493163089, 19.9101120025264
81, 0.08333333333333333, 40838, 0.656904325604746, 17.149641973452
95, 0.03333333333333333, 48593, 0.651548290389512, 92.6483227156942
98, 0.03333333333333333, 50627, 0.651790622359144, 136.358770703369
121, 0.03333333333333333, 56784, 0.650863304420949, 187.636805226209
126, 0.1, 59935, 0.658167253214804, 15.3087439998826
137, 0.03333333333333333, 64712, 0.65035218056631, 83.3927589287097
142, 0.03333333333333333, 66112, 0.650310936089064, 201.781857889548
145, 0.05, 67549, 0.65000229765023, 186.138746168331
