maxfarms, p, MeanVariance, MeanSD, MeanCF, BiObj
5, 0.25, 0.08884030978894938, 0.2980609162385256, -0.6960568996069338, 0.2119225192124904
5, 0.5, 0.051274166144296966, 0.2264379962468688, -0.6631800013589748, 0.27306501974680225
5, 0.75, 0.04016523555321705, 0.20041266315584214, -0.6390009200046132, 0.20378459665996626
10, 0.25, 0.08884030978894933, 0.29806091623852554, -0.6960568996069337, 0.21192251921249172
10, 0.5, 0.04893778775880218, 0.22121886845113864, -0.6616015036744948, 0.26570987599183177
10, 0.75, 0.03560292159931101, 0.18868736470498235, -0.6300407643206768, 0.1816911033851837
20, 0.25, 0.08884030978894937, 0.2980609162385256, -0.6960568996069338, 0.2119225192124895
20, 0.5, 0.04893778775880218, 0.22121886845113864, -0.6616015036744949, 0.26570987599182905
20, 0.75, 0.03546575117270058, 0.18832352793185608, -0.6297343100045277, 0.1810978109851967
