z,CF
1,-0.6594044907704905
2,-0.6572796962930186
3,-0.6576539339950859
4,-0.6724814106850218
5,-0.657850053290269
6,-0.6501834699210559
7,-0.6754080267237423
8,-0.6707921863338256
9,-0.6892104084862463
10,-0.6403201857263047
11,-0.6497557831241296
12,-0.6588826040570142
13,-0.625674147575623
14,-0.6834401792307808
15,-0.6510287577643247
16,-0.6666402038440687
17,-0.6226944442960832
18,-0.6948258542923897
19,-0.6804400509296958
20,-0.6134325847024391
21,-0.6085059258484442
22,-0.5221209192350057
23,-0.6038655126704652
24,-0.5955656729474516
25,-0.6223794320833782
26,-0.47389143249829563
27,-0.5375149215507884
28,-0.6098589538770107
29,-0.5220556909969557
30,-0.6213556935541114
31,-0.6023785546340669
32,-0.5259802283049017
33,-0.627324887198303
34,-0.6266295997777742
35,-0.5538911346309582
36,-0.625324617141651
37,-0.4840489193643171
38,-0.5886004935380156
39,-0.15180280808687538
40,-0.6196553688340087
41,-0.6192353659927528
42,-0.6163355030343036
43,-0.52516082068559
44,-0.5616987106979597
45,-0.322246306845849
46,-0.5519018968335503
47,-0.5048336467067128
48,-0.5357800528478212
49,-0.5633881102569618
50,-0.551360245186858
51,-0.4580146701941618
52,-0.5670675875461257
53,-0.539825655269677
54,-0.23350844251418448
55,-0.5288448041745488
56,-0.5484915904526388
57,-0.569559143746534
58,-0.5410965141723908
59,-0.552080788709684
60,-0.4808015120368097
61,-0.5345538413572668
62,-0.5601723929836432
63,-0.5436506717607597
64,-0.4835822432556257
65,-0.5325261640254808
66,-0.5520667952544995
67,-0.4658592353017925
68,-0.5628715290821764
69,-0.5369518093220682
70,-0.5200854508668046
71,-0.47190132462256434
72,-0.5399523368833389
73,-0.5523176747336964
74,-0.47693050874162873
75,-0.40294510642718934
76,-0.5461875386550152
77,-0.49516110807462627
78,-0.35827381864789526
79,-0.5210730870336728
80,-0.3334724321126912
81,-0.49011486685200445
82,-0.5306749578301044
83,-0.5444564789695743
84,-0.5538791682027258
85,-0.5677977904645111
86,-0.5604632202893225
87,-0.5169092538291759
88,-0.5712823688682317
89,-0.3008410660259809
90,-0.5742441586305296
91,-0.5766048427212098
92,-0.45759785331597047
93,-0.5772481638041195
94,-0.5431223885454411
95,-0.5493179420971086
96,-0.5706297536261081
97,-0.5642077150524524
98,-0.557681986455595
99,-0.5155861465294063
100,-0.5686896745073619
101,-0.5695713329683274
102,-0.5624273898705875
103,-0.45730075912987694
104,-0.5575785386721293
105,-0.5479346504143477
106,-0.5718627752887643
107,-0.561142474089927
108,-0.5700406932794138
109,-0.39118342262968797
110,-0.5688383391341209
111,-0.5396691862092451
112,-0.5517198300413722
113,-0.5691697356543577
114,-0.5668379460875349
115,-0.5661537728423067
116,-0.5448211050584654
117,-0.5187725198902728
118,-0.5613776726794907
119,-0.5622058241699726
120,-0.5577428297528544
121,-0.5654711020674241
122,-0.5624989331061107
123,-0.5601528166843831
124,-0.5667056111626101
125,-0.5093761558505542
126,-0.4810449288234998
127,-0.56506883214788
128,-0.5484042779731678
129,-0.5655058662757237
130,-0.5646428887508025
131,-0.5601675186028616
132,-0.5650264298983819
133,-0.5417019102973885
134,-0.5709376915915126
135,-0.5671188380486631
136,-0.5683129670890618
137,-0.5635791186745637
138,-0.5699738091355557
139,-0.5763432264149272
140,-0.5720516135275433
141,-0.5740384157080135
142,-0.578149907137125
143,-0.579580792173329
144,-0.5801641944619605
145,-0.5814988057960683
146,-0.5820638211666086
147,-0.5905691720646709
148,-0.5936296208609855
149,-0.6006813261570315
150,-0.6045744015066314
