zone,MW,MW_pct,n_turbines,CF_selected,CF_outline,WPSS_selected,WPSS_outline,WPSS_fish_selected,WPSS_fish_outline,WPSS_ecol_selected,WPSS_ecol_outline,WPSS_inv_selected,WPSS_inv_outline,n_cells_selected,n_cells_outline,n_cells_outline_WPSSfiltered,n_cells_outline_WPSSfilteredAll
1,2000,6.7,133,66.7,66.6,0.662,0.645,0.783,0.736,0.818,0.777,0.644,0.633,40,64,40,33
4,1000,3.3,67,68.5,68.5,0.647,0.647,0.691,0.691,0.728,0.728,0.646,0.646,20,21,21,0
5,1500,5,100,66.2,66.1,0.664,0.664,0.807,0.808,0.828,0.829,0.644,0.645,30,40,40,39
9,2000,6.7,133,70.1,70.1,0.688,0.688,0.8,0.8,0.846,0.846,0.676,0.676,40,40,40,40
14,2000,6.7,133,70.1,70.1,0.672,0.672,0.744,0.744,0.823,0.823,0.669,0.669,40,40,40,20
18,1000,3.3,67,70.1,70.1,0.693,0.694,0.805,0.808,0.849,0.85,0.681,0.682,20,23,23,23
19,6000,20,400,70.3,70.3,0.68,0.68,0.77,0.769,0.835,0.835,0.674,0.674,120,123,123,94
25,4000,13.3,267,67.8,67.8,0.661,0.661,0.713,0.713,0.812,0.812,0.663,0.663,80,80,80,10
38,1500,5,100,63.1,63.1,0.648,0.648,0.766,0.766,0.803,0.802,0.63,0.63,30,32,32,6
41,4500,15,300,63.3,63.3,0.65,0.65,0.779,0.779,0.813,0.813,0.629,0.629,90,136,132,111
98,1000,3.3,67,55.9,55.9,0.651,0.645,0.81,0.786,0.813,0.808,0.622,0.618,20,44,20,20
131,1500,5,100,56.8,56.8,0.649,0.649,0.776,0.775,0.814,0.814,0.623,0.622,30,37,34,34
137,1000,3.3,67,56.2,56.3,0.64,0.638,0.73,0.726,0.802,0.801,0.622,0.62,20,42,23,1
138,1000,3.3,67,56.6,56.9,0.649,0.645,0.777,0.768,0.814,0.812,0.622,0.618,20,48,20,20
