z,var
  1,0.13390335
  2,0.13602591
  3,0.13224953
  4,0.12867872
  5,0.13383375
  6,0.14188429
  7,0.13202363
  8,0.12410160
  9,0.14078943
 10,0.11813024
 11,0.14287483
 12,0.14691678
 13,0.14784077
 14,0.14779000
 15,0.09886648
 16,0.15184292
 17,0.13012257
 18,0.14484934
 19,0.14756868
 20,0.14446309
 21,0.13222090
 22,0.03533014
 23,0.14133474
 24,0.14559437
 25,0.14408979
 26,0.08150007
 27,0.09191470
 28,0.14751512
 29,0.14340732
 30,0.13054474
 31,0.14901374
 32,0.15472374
 33,0.05927917
 34,0.15427164
 35,0.15242592
 36,0.14762136
 37,0.15264758
 38,0.13612665
 39,0.15120162
 40,0.15353537
 41,0.15106278
 42,0.15206223
 43,0.14934309
 44,0.14789005
 45,0.14995996
 46,0.11248253
 47,0.14141186
 48,0.14441485
 49,0.14785776
 50,0.14316973
 51,0.11530815
 52,0.13361097
 53,0.14565159
 54,0.08942608
 55,0.12061144
 56,0.14246776
 57,0.14639653
 58,0.07087250
 59,0.14817284
 60,0.14860141
 61,0.14943650
 62,0.14950211
 63,0.10933955
 64,0.14136515
 65,0.14675098
 66,0.14306166
 67,0.14586908
 68,0.14518959
 69,0.14548414
 70,0.14531182
 71,0.14012729
 72,0.13316830
 73,0.14105430
 74,0.14414333
 75,0.14244590
 76,0.11158841
 77,0.14127302
 78,0.14411675
 79,0.13765337
 80,0.13813453
 81,0.14504172
 82,0.14169193
 83,0.13360387
 84,0.12905146
 85,0.14223918
 86,0.14154014
 87,0.14159533
 88,0.14566213
 89,0.14213628
 90,0.14538384
 91,0.13790782
 92,0.14760670
 93,0.14722632
 94,0.14756847
 95,0.14402389
 96,0.14706403
 97,0.14961446
 98,0.14529824
 99,0.14927146
100,0.14760426
